"datetime","ipsrc","ipdst","dstport","proto","action","policyid"
"2023-03-07 02:17:16","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:16","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:17","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:17","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:19","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:19","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-07 02:17:19","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:19","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:19","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:20","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:20","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-07 02:17:23","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:23","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-07 02:17:23","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:23","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:23","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:23","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:24","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:26","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:26","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:26","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:26","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:26","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:27","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:30","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:30","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:30","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:30","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:30","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:30","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:32","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:32","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:32","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:33","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:34","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:34","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:34","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:36","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:36","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:36","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:36","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:37","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:38","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
"2023-03-07 02:17:38","192.168.1.87","192.168.1.47","21","TCP","Permit","3"
